一级行业代码,一级行业,二级行业代码,二级行业,三级行业代码,三级行业,股票代码,股票名称,龙头排名,质量分,规模地位分,盈利能力,成长稳定性,现金流质量,同行相对估值,财务稳健与波动,覆盖率,资格状态,生命周期,公式版本,首次进入,最近可见,低估池状态,估值标签,历史估值标签,买入档,现价,合理价值低,合理价值中,合理价值高,低估池as_of
881001.SH,煤炭,881005.SH,焦炭加工,881005.SH,焦炭加工,600997.SH,开滦股份,2,74.6667,76.6667,88.3333,50.0,62.5,87.5,83.3333,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,NORMAL,WATCH,5.41,9.12,11.93,15.29,2026-09-07
881006.SH,石油,881008.SH,油服工程,881009.SH,油田服务,601808.SH,中海油服,1,63.3286,87.1429,57.1429,47.5,64.8572,89.0476,58.5714,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,VERY_CHEAP,ATTENTION,12.44,32.2,45.62,76.65,2026-09-07
881006.SH,石油,881008.SH,油服工程,881010.SH,油气工程,600583.SH,海油工程,1,73.8333,92.5,85.0,67.5,62.5,92.5,50.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,NORMAL,ATTENTION,6.03,9.0,12.03,17.49,2026-09-07
881006.SH,石油,881008.SH,油服工程,881010.SH,油气工程,600339.SH,中油工程,2,37.6667,82.5,17.5,45.0,50.0,45.0,37.5,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,EXPENSIVE,ATTENTION,3.35,6.92,8.88,12.91,2026-09-07
881006.SH,石油,881011.SH,石油化工,881012.SH,炼油化工,600028.SH,中国石化,1,76.0,100.0,76.6667,73.3333,86.6667,60.0,86.6667,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,EXPENSIVE,ATTENTION,5.37,8.36,10.81,13.05,2026-09-07
881015.SH,化工,881019.SH,化纤,881023.SH,锦纶,601113.SH,华鼎股份,2,58.1667,65.0,80.0,25.0,60.0,37.5,92.5,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,ATTENTION,3.48,4.79,6.32,8.74,2026-09-07
881015.SH,化工,881019.SH,化纤,881025.SH,其他化学纤维,001369.SZ,双欣材料,1,75.9921,100.0,90.0,,50.0,80.0,80.9524,0.8,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,INSUFFICIENT_DATA,WAIT,12.49,12.99,13.93,14.21,2026-09-07
881015.SH,化工,881026.SH,化学原料,881028.SH,钛白粉,002145.SZ,钛能化学,2,75.6,80.0,86.0,92.0,50.6667,74.0,70.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,WATCH,4.27,5.61,8.33,8.44,2026-09-07
881015.SH,化工,881026.SH,化学原料,881032.SH,有机化工原料,600273.SH,嘉化能源,2,67.2762,85.0,66.3636,64.0909,51.1688,95.9697,55.0,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,NORMAL,ATTENTION,6.69,12.7,20.66,41.37,2026-09-07
881015.SH,化工,881034.SH,化学制品,881037.SH,民爆制品,002226.SZ,江南化工,2,60.7587,83.0,51.0,53.3333,64.5714,73.2222,67.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,ATTENTION,5.11,5.48,7.44,12.13,2026-09-07
