一级行业,二级行业,三级行业代码,三级行业,第1名代码,第1名名称,第1名质量分,第2名代码,第2名名称,第2名质量分,公式版本
交通运输,公路铁路,881443.SH,铁路运输,601816.SH,京沪高铁,68.5556,601006.SH,大秦铁路,49.7778,value-leader-v3.0.0
交通运输,公路铁路,881444.SH,高速公路,001965.SZ,招商公路,46.3083,600377.SH,宁沪高速,51.9728,value-leader-v3.0.0
交通运输,公路铁路,881445.SH,公共交通,600611.SH,大众交通,46.4667,600650.SH,锦江在线,60.9333,value-leader-v3.0.0
交通运输,物流,881453.SH,供应链服务,600704.SH,物产中大,62.9058,600057.SH,厦门象屿,62.7223,value-leader-v3.0.0
交通运输,物流,881454.SH,快递,002352.SZ,顺丰控股,46.0,600233.SH,圆通速递,67.7778,value-leader-v3.0.0
交通运输,物流,881455.SH,跨境物流,601598.SH,中国外运,49.3439,001391.SZ,国货航,52.0081,value-leader-v3.0.0
交通运输,物流,881456.SH,仓储物流,603713.SH,密尔克卫,69.8667,600787.SH,中储股份,55.5333,value-leader-v3.0.0
交通运输,物流,881457.SH,公路货运,603223.SH,恒通股份,66.0,603569.SH,长久物流,63.2857,value-leader-v3.0.0
交通运输,航空机场,881447.SH,航空运输,600029.SH,南方航空,39.0476,600221.SH,海航控股,45.5544,value-leader-v3.0.0
交通运输,航空机场,881448.SH,机场,600009.SH,上海机场,56.6071,600004.SH,白云机场,61.3571,value-leader-v3.0.0
交通运输,航运港口,881450.SH,港口,600018.SH,上港集团,65.2444,601018.SH,宁波港,66.1778,value-leader-v3.0.0
交通运输,航运港口,881451.SH,航运,601919.SH,中远海控,58.3995,601872.SH,招商轮船,62.2518,value-leader-v3.0.0
传媒,出版业,881381.SH,教育出版,601928.SH,凤凰传媒,54.9881,601098.SH,中南传媒,43.6548,value-leader-v3.0.0
传媒,出版业,881382.SH,大众出版,601921.SH,XD浙版传,66.1,000719.SZ,中原传媒,82.025,value-leader-v3.0.0
传媒,出版业,881383.SH,其他出版,601858.SH,中国科传,69.0,300364.SZ,中文在线,24.5714,value-leader-v3.0.0
传媒,广告营销,881371.SH,互联网广告,300058.SZ,蓝色光标,53.396,002131.SZ,利欧股份,58.3421,value-leader-v3.0.0
传媒,广告营销,881372.SH,其他广告营销,002027.SZ,分众传媒,86.25,002654.SZ,万润科技,42.0833,value-leader-v3.0.0
传媒,广播电视,881384.SH,广播电视,600637.SH,东方明珠,57.1857,000156.SZ,华数传媒,70.7143,value-leader-v3.0.0
传媒,影视院线,881374.SH,影视制作,300251.SZ,光线传媒,82.95,300133.SZ,华策影视,64.7333,value-leader-v3.0.0
传媒,影视院线,881375.SH,发行院线,002739.SZ,儒意电影,60.0612,600977.SH,中国电影,44.1326,value-leader-v3.0.0
传媒,数字媒体,881377.SH,视频音频媒体,300413.SZ,芒果超媒,82.6667,600640.SH,国脉文化,15.3333,value-leader-v3.0.0
传媒,数字媒体,881378.SH,文字图片媒体,603888.SH,新华网,76.5333,603000.SH,人民网,56.1333,value-leader-v3.0.0
传媒,游戏,881369.SH,游戏,002602.SZ,世纪华通,72.4936,002555.SZ,三七互娱,69.6408,value-leader-v3.0.0
公用事业,水务,881468.SH,水务,000598.SZ,兴蓉环境,76.0846,600008.SH,首创环保,53.3821,value-leader-v3.0.0
公用事业,燃气,881467.SH,燃气,600803.SH,新奥股份,63.3165,600956.SH,新天绿能,65.9327,value-leader-v3.0.0
公用事业,电力,881460.SH,水力发电,600900.SH,长江电力,63.2152,600025.SH,华能水电,61.4165,value-leader-v3.0.0
公用事业,电力,881461.SH,火力发电,600011.SH,华能国际,64.3734,601991.SH,大唐发电,57.8115,value-leader-v3.0.0
公用事业,电力,881462.SH,热力服务,600167.SH,联美控股,62.9936,600226.SH,亨通股份,29.9921,value-leader-v3.0.0
公用事业,电力,881463.SH,风力发电,600930.SH,华电新能,48.6558,,,,value-leader-v3.0.0
公用事业,电力,881464.SH,光伏发电,000591.SZ,太阳能,74.0635,600032.SH,浙江新能,63.4804,value-leader-v3.0.0
公用事业,电力,881465.SH,核力发电,003816.SZ,中国广核,54.3333,601985.SH,中国核电,64.3333,value-leader-v3.0.0
公用事业,电力,881466.SH,电能综合服务,600483.SH,福能股份,76.7333,000875.SZ,电投绿能,54.0667,value-leader-v3.0.0
农林牧渔,养殖业,881112.SH,生猪养殖,002714.SZ,牧原股份,72.9333,300498.SZ,温氏股份,67.7667,value-leader-v3.0.0
农林牧渔,养殖业,881113.SH,肉鸡养殖,002299.SZ,圣农发展,67.7111,300761.SZ,立华股份,51.1333,value-leader-v3.0.0
农林牧渔,养殖业,881114.SH,其他养殖,002321.SZ,华英农业,77.0,300313.SZ,天山生物,23.0,value-leader-v3.0.0
农林牧渔,农产品加工,881124.SH,粮油加工,300999.SZ,金龙鱼,59.5667,000019.SZ,深粮控股,57.5333,value-leader-v3.0.0
农林牧渔,农产品加工,881125.SH,果蔬加工,600251.SH,冠农股份,70.4444,603336.SH,宏辉果蔬,56.6667,value-leader-v3.0.0
农林牧渔,农产品加工,881126.SH,其他农产品加工,300138.SZ,晨光生物,60.2667,000930.SZ,中粮科技,49.8667,value-leader-v3.0.0
农林牧渔,动物保健,881127.SH,动物保健,300119.SZ,瑞普生物,60.5455,600195.SH,中牧股份,49.904,value-leader-v3.0.0
农林牧渔,林业,881115.SH,林业,000592.SZ,平潭发展,36.6429,002679.SZ,福建金森,74.1667,value-leader-v3.0.0
农林牧渔,渔业,881117.SH,水产养殖,600467.SH,好当家,77.5,300094.SZ,国联水产,25.4167,value-leader-v3.0.0
农林牧渔,渔业,881118.SH,水产捕捞,000798.SZ,中水渔业,46.2381,600097.SH,开创国际,54.3333,value-leader-v3.0.0
农林牧渔,种植业,881107.SH,粮食种植,600598.SH,北大荒,78.0,601952.SH,苏垦农发,22.0,value-leader-v3.0.0
农林牧渔,种植业,881108.SH,食用菌,002772.SZ,众兴菌业,69.7778,300511.SZ,雪榕生物,31.3333,value-leader-v3.0.0
农林牧渔,种植业,881109.SH,种子,000998.SZ,隆平高科,49.35,600313.SH,农发种业,45.2857,value-leader-v3.0.0
农林牧渔,种植业,881110.SH,其他种植业,601118.SH,海南橡胶,56.4127,600108.SH,亚盛集团,68.0317,value-leader-v3.0.0
农林牧渔,饲料,881120.SH,畜禽饲料,002100.SZ,天康生物,66.2222,600866.SH,星湖科技,85.0555,value-leader-v3.0.0
农林牧渔,饲料,881121.SH,水产饲料,002311.SZ,海大集团,85.0,001313.SZ,粤海饲料,40.9444,value-leader-v3.0.0
