一级行业代码,一级行业,二级行业代码,二级行业,三级行业代码,三级行业,股票代码,股票名称,龙头排名,质量分,规模地位分,盈利能力,成长稳定性,现金流质量,同行相对估值,财务稳健与波动,覆盖率,资格状态,生命周期,公式版本,首次进入,最近可见,低估池状态,估值标签,历史估值标签,买入档,现价,合理价值低,合理价值中,合理价值高,低估池as_of
881001.SH,煤炭,881002.SH,煤炭开采,881003.SH,动力煤,601088.SH,中国神华,1,62.7241,100.0,80.7143,44.3681,67.0779,57.4126,55.7143,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881001.SH,煤炭,881002.SH,煤炭开采,881003.SH,动力煤,601225.SH,陕西煤业,2,68.2667,90.7143,76.4286,61.0989,65.5844,67.5075,67.8571,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881001.SH,煤炭,881002.SH,煤炭开采,881004.SH,炼焦煤,600985.SH,淮北矿业,1,57.336,92.2222,58.8889,56.1904,60.2778,57.6191,51.1111,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881001.SH,煤炭,881002.SH,煤炭开采,881004.SH,炼焦煤,601699.SH,潞安环能,2,53.5608,83.3333,57.7777,52.6984,66.1111,43.8095,42.2222,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881001.SH,煤炭,881005.SH,焦炭加工,881005.SH,焦炭加工,600740.SH,山西焦化,1,50.5,78.3333,70.0,41.6667,0.0,77.5,60.0,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881001.SH,煤炭,881005.SH,焦炭加工,881005.SH,焦炭加工,600997.SH,开滦股份,2,74.6667,76.6667,88.3333,50.0,62.5,87.5,83.3333,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,NORMAL,WATCH,5.41,9.12,11.93,15.29,2026-09-07
881006.SH,石油,881007.SH,油气开采,881007.SH,油气开采,601857.SH,中国石油,1,46.1333,100.0,38.0,62.0,24.0,74.0,30.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881006.SH,石油,881007.SH,油气开采,881007.SH,油气开采,600938.SH,中国海油,2,62.8,80.0,100.0,28.0,20.0,70.0,94.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881006.SH,石油,881008.SH,油服工程,881009.SH,油田服务,601808.SH,中海油服,1,63.3286,87.1429,57.1429,47.5,64.8572,89.0476,58.5714,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,VERY_CHEAP,ATTENTION,12.44,32.2,45.62,76.65,2026-09-07
881006.SH,石油,881008.SH,油服工程,881009.SH,油田服务,600871.SH,石化油服,2,35.0762,85.7143,11.4286,63.5714,56.5714,37.1428,4.2857,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
